"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Coruscation Mage","R","U","116589","4.56","19528","6.06","82864","71.0%","53.3%","14784","54.1%","20293","54.6%","35077","54.4%","47722","52.5%","1.9pp"
"Flamecache Gecko","R","U","120330","4.66","23888","5.99","107976","74.1%","55.8%","19152","56.9%","23194","55.8%","42346","56.3%","65535","55.5%","0.8pp"
"Harnesser of Storms","R","U","141881","5.82","17771","8.35","39902","38.3%","50.6%","6869","49.0%","10324","50.9%","17193","50.1%","22720","50.9%","-0.8pp"
"Heartfire Hero","R","U","95338","3.78","20335","4.64","95008","77.0%","55.3%","17193","60.8%","20418","53.1%","37611","56.6%","57481","54.4%","2.2pp"
"Hoarder's Overflow","R","U","163104","7.06","18299","10.62","13015","12.0%","49.4%","2213","43.3%","2953","46.9%","5166","45.4%","7834","52.0%","-6.6pp"
"Playful Shove","R","U","134704","5.18","20633","7.22","73085","59.3%","53.7%","12501","53.0%","17289","54.8%","29790","54.1%","43093","53.3%","0.7pp"
"Quaketusk Boar","R","U","94450","3.62","20776","4.51","100720","80.7%","54.4%","15743","55.1%","22954","56.6%","38697","56.0%","62188","53.5%","2.5pp"
"Rabid Gnaw","R","U","84216","3.24","23936","3.87","124914","85.3%","55.7%","20801","57.7%","28338","58.9%","49139","58.4%","75481","53.9%","4.5pp"
"Reptilian Recruiter","R","U","141720","5.66","19297","8.01","51699","44.8%","53.7%","7581","51.7%","11427","54.4%","19008","53.3%","32637","54.0%","-0.6pp"
"Teapot Slinger","R","U","116835","4.53","18790","6.16","78002","69.5%","53.5%","12780","53.9%","17589","53.3%","30369","53.6%","47765","53.4%","0.2pp"
"Wildfire Howl","R","U","144436","5.90","17833","8.57","34597","32.9%","51.9%","5752","51.6%","8787","54.8%","14539","53.5%","19951","50.8%","2.8pp"
"Valley Rally","R","U","150612","6.11","18082","9.06","40377","37.4%","52.8%","6016","50.5%","8858","52.1%","14874","51.5%","25477","53.5%","-2.0pp"
"Bark-Knuckle Boxer","G","U","107762","3.98","25338","5.17","128980","83.5%","55.3%","23467","57.3%","29868","55.4%","53335","56.2%","75624","54.6%","1.7pp"
"Brambleguard Veteran","G","U","102804","3.92","23431","4.99","112445","79.5%","54.8%","19466","56.5%","26812","55.5%","46278","55.9%","66232","54.1%","1.8pp"
"Bushy Bodyguard","G","U","98226","3.68","25566","4.60","131888","85.1%","55.0%","22631","53.6%","31772","57.6%","54403","55.9%","76818","54.3%","1.6pp"
"Clifftop Lookout","G","U","108366","4.07","19852","5.48","86126","73.2%","53.1%","15314","53.0%","22039","53.4%","37353","53.2%","48699","53.0%","0.2pp"
"Curious Forager","G","U","104973","3.89","26944","4.93","138880","85.2%","55.0%","22988","51.8%","34715","58.0%","57703","55.5%","80431","54.6%","0.9pp"
"Galewind Moose","G","U","71676","2.77","25954","3.21","142710","90.6%","55.2%","21890","55.1%","36698","59.0%","58588","57.6%","84263","53.5%","4.1pp"
"Hazardroot Herbalist","G","U","135160","5.18","18774","7.52","57837","51.6%","52.9%","9654","50.5%","12926","52.1%","22580","51.4%","35148","53.7%","-2.3pp"
"Hivespine Wolverine","G","U","81742","3.08","24469","3.76","133239","89.3%","55.5%","20978","55.5%","33928","58.7%","54906","57.5%","78306","54.1%","3.4pp"
"Honored Dreyleader","G","U","117112","4.54","21929","6.04","88510","67.3%","54.3%","15126","53.6%","22012","56.7%","37138","55.4%","50798","53.4%","2.0pp"
"Hunter's Talent","G","U","50514","2.10","29337","2.23","168490","92.5%","57.0%","29193","59.4%","42300","62.8%","71493","61.4%","96283","53.7%","7.7pp"
"Overprotect","G","U","94346","3.48","27309","4.32","148790","89.4%","55.6%","23736","55.5%","36889","59.8%","60625","58.1%","87744","53.9%","4.2pp"
"Pawpatch Formation","G","U","129922","4.74","21526","6.74","91610","70.6%","54.3%","15620","53.8%","22869","57.0%","38489","55.7%","52890","53.2%","2.5pp"
"Peerless Recycling","G","U","150515","5.80","20406","8.57","49809","41.0%","52.0%","7430","47.8%","12297","53.5%","19727","51.4%","29966","52.4%","-1.0pp"
"Stocking the Pantry","G","U","156461","6.42","19856","9.56","23445","19.7%","51.1%","3854","48.2%","5730","49.6%","9584","49.1%","13809","52.5%","-3.4pp"
"Three Tree Scribe","G","U","107116","4.03","25502","5.12","121587","79.1%","54.7%","21769","57.3%","32113","56.5%","53882","56.8%","67694","53.0%","3.8pp"
"Wear Down","G","U","166585","7.16","17929","10.96","4266","4.0%","47.5%","618","41.7%","1024","46.7%","1642","44.8%","2620","49.3%","-4.5pp"
"Burrowguard Mentor","WG","U","94358","3.84","24724","4.46","112871","73.9%","57.1%","20119","61.4%","26164","59.8%","46283","60.5%","66533","54.8%","5.7pp"
"Fireglass Mentor","BR","U","120877","4.97","24615","6.10","87382","58.1%","56.7%","15399","59.3%","18878","57.0%","34277","58.0%","52924","55.9%","2.2pp"
"Lilysplash Mentor","UG","U","104524","4.17","25713","5.05","112923","72.8%","55.0%","18954","54.6%","33324","60.4%","52278","58.3%","60944","52.1%","6.2pp"
"Plumecreed Mentor","WU","U","134083","5.49","19621","7.61","48163","41.2%","52.9%","8198","55.5%","12542","55.9%","20740","55.7%","27216","50.6%","5.1pp"
"Seedglaive Mentor","WR","U","108738","4.50","18970","5.73","73854","64.9%","54.0%","12873","54.3%","16150","52.3%","29023","53.2%","44833","54.6%","-1.4pp"
"Starseer Mentor","WB","U","105223","4.20","20300","5.44","82979","67.8%","54.7%","13410","54.0%","19784","57.4%","33194","56.0%","48001","53.1%","2.9pp"
"Stormcatch Mentor","UR","U","143917","6.21","18050","8.77","38039","35.8%","51.4%","6662","53.0%","10931","52.6%","17593","52.7%","20435","50.2%","2.5pp"
"Tidecaller Mentor","UB","U","146163","5.92","23623","8.13","61025","43.3%","53.5%","10269","52.4%","17422","58.6%","27691","56.3%","32996","51.0%","5.3pp"
"Vinereap Mentor","BG","U","102843","4.12","29980","4.69","138898","75.3%","57.2%","24448","62.8%","34515","60.8%","58963","61.6%","78715","53.7%","7.9pp"
"Wandertale Mentor","RG","U","113470","4.73","20662","5.95","69143","55.2%","55.2%","12325","62.9%","15149","54.8%","27474","58.4%","41783","53.2%","5.3pp"
"Heirloom Epic","","U","162636","6.51","19870","9.72","28247","23.7%","54.4%","4780","52.8%","6356","54.5%","11136","53.8%","17075","54.8%","-1.1pp"
"Patchwork Banner","","U","83436","3.12","26956","3.68","150428","90.7%","56.4%","27289","59.4%","36443","58.7%","63732","59.0%","86130","54.4%","4.6pp"
"Short Bow","","U","135540","4.97","18818","7.25","64687","57.5%","53.0%","10906","52.2%","14224","52.8%","25130","52.6%","39448","53.3%","-0.7pp"
"Starforged Sword","","U","160039","6.47","17229","9.91","20599","20.1%","50.9%","3186","47.8%","4772","49.2%","7958","48.7%","12607","52.2%","-3.6pp"
"Tangle Tumbler","","U","157456","6.19","20082","9.20","33758","28.1%","54.2%","5462","52.6%","7966","54.6%","13428","53.8%","20344","54.5%","-0.7pp"
"Lilypad Village","","U","162012","6.73","19893","9.90","49938","42.4%","52.9%","8666","52.2%","13345","54.2%","22011","53.4%","27878","52.6%","0.9pp"
"Lupinflower Village","","U","151894","5.70","20541","8.35","87214","69.7%","56.2%","15102","56.5%","18983","57.0%","34085","56.8%","53036","55.8%","1.0pp"
"Mudflat Village","","U","146389","5.44","23165","7.76","106092","75.0%","56.1%","18245","56.3%","24849","58.3%","43094","57.5%","62616","55.1%","2.3pp"
"Oakhollow Village","","U","136392","4.97","21144","7.22","103589","81.3%","54.7%","18013","54.3%","24442","53.5%","42455","53.9%","61053","55.2%","-1.4pp"
"Rockface Village","","U","146964","5.70","19055","8.28","76228","66.3%","54.8%","13430","55.3%","16223","53.4%","29653","54.2%","46544","55.1%","-0.8pp"
"Banishing Light","W","C","207601","3.17","53955","3.96","292583","89.4%","55.1%","48910","54.0%","67596","57.0%","116506","55.7%","175185","54.7%","1.0pp"
"Brave-Kin Duo","W","C","364127","5.93","47778","8.55","156390","54.7%","53.7%","27748","53.7%","31889","50.3%","59637","51.9%","96447","54.7%","-2.8pp"
"Carrot Cake","W","C","273410","4.29","69793","5.24","354888","82.5%","56.6%","64433","57.2%","80533","59.1%","144966","58.3%","209188","55.4%","2.9pp"
"Crumb and Get It","W","C","327006","4.98","57212","6.83","271723","78.3%","55.2%","42574","55.2%","60720","56.1%","103294","55.7%","167993","54.8%","0.9pp"
"Intrepid Rabbit","W","C","238334","3.69","69890","4.44","378843","88.2%","56.3%","64922","56.8%","86187","58.6%","151109","57.9%","225408","55.2%","2.6pp"
"Lifecreed Duo","W","C","289342","4.46","47959","6.13","227380","78.5%","54.6%","40830","55.7%","50930","55.3%","91760","55.5%","132847","53.8%","1.7pp"
"Nettle Guard","W","C","330498","5.04","55227","6.99","259651","77.5%","55.0%","46368","56.0%","55865","53.4%","102233","54.6%","156505","55.3%","-0.8pp"
"Pileated Provisioner","W","C","379943","6.23","46228","9.24","108319","39.1%","53.4%","16313","52.2%","25177","54.3%","41490","53.5%","66343","53.3%","0.2pp"
"Rabbit Response","W","C","371375","6.07","53119","8.59","170953","53.2%","55.0%","25212","52.7%","38495","55.9%","63707","54.6%","107148","55.3%","-0.7pp"
"Sonar Strike","W","C","292307","4.42","45054","6.20","213613","78.7%","54.8%","35960","54.6%","48801","56.7%","84761","55.8%","128026","54.2%","1.6pp"
"Thistledown Players","W","C","366538","5.95","47107","8.71","140809","49.9%","53.4%","23928","53.4%","30043","51.5%","53971","52.4%","86523","54.0%","-1.6pp"
"Warren Elder","W","C","294493","4.48","61192","5.90","314238","84.5%","55.6%","55833","55.0%","69833","55.9%","125666","55.5%","187105","55.6%","-0.1pp"
"Wax-Wane Witness","W","C","365920","5.97","45536","8.83","133781","49.0%","53.8%","21495","53.0%","31146","54.8%","52641","54.1%","79292","53.3%","0.8pp"
"Bellowing Crier","U","C","388617","6.85","54890","9.60","152393","47.0%","52.4%","27622","52.1%","41282","54.1%","68904","53.3%","83359","51.7%","1.6pp"
"Dazzling Denial","U","C","378639","6.56","51925","9.31","140395","45.6%","53.0%","24661","54.6%","37919","55.7%","62580","55.3%","77012","51.1%","4.2pp"
"Dire Downdraft","U","C","379155","6.43","59282","8.86","201627","56.8%","54.1%","32461","53.6%","58663","58.1%","91124","56.5%","108819","52.1%","4.5pp"
"Finch Formation","U","C","393161","7.05","45379","10.31","72924","27.3%","50.4%","12224","47.5%","19590","53.1%","31814","51.0%","41045","49.9%","1.0pp"
"Lightshell Duo","U","C","390461","6.96","53079","9.83","122105","38.6%","53.1%","19921","53.4%","35697","56.7%","55618","55.5%","66358","51.0%","4.5pp"
"Mind Spiral","U","C","403081","7.35","54023","10.47","88658","27.6%","52.4%","13860","50.0%","25019","56.2%","38879","54.0%","49074","51.0%","3.0pp"
"Nightwhorl Hermit","U","C","410035","7.79","48999","11.22","48037","16.6%","49.3%","8178","45.6%","13271","52.9%","21449","50.1%","26444","48.6%","1.5pp"
"Pearl of Wisdom","U","C","383285","6.80","49485","9.64","114860","39.1%","53.3%","19762","53.9%","32909","57.7%","52671","56.3%","60987","50.5%","5.8pp"
"Run Away Together","U","C","391797","6.94","52434","9.86","125154","40.5%","52.3%","19892","49.4%","36065","55.8%","55957","53.5%","68350","51.3%","2.3pp"
"Shore Up","U","C","382899","6.66","52352","9.45","151487","49.0%","52.3%","23993","50.7%","42890","56.3%","66883","54.3%","83575","50.7%","3.6pp"
"Skyskipper Duo","U","C","385987","6.77","53293","9.60","139349","44.1%","52.8%","21227","50.3%","40865","56.0%","62092","54.0%","77328","51.8%","2.2pp"
"Thought Shucker","U","C","404788","7.59","50590","10.86","70813","23.6%","51.2%","12282","48.4%","19316","54.5%","31598","52.1%","39031","50.4%","1.7pp"
"Waterspout Warden","U","C","403527","7.48","48910","10.77","73576","25.4%","51.8%","12538","50.5%","20147","53.2%","32685","52.2%","40900","51.4%","0.7pp"
"Agate-Blade Assassin","B","C","346535","5.55","51652","7.91","205885","65.9%","54.6%","37184","55.9%","45162","53.8%","82346","54.7%","122423","54.4%","0.4pp"
"Bonebind Orator","B","C","339316","5.24","64490","7.18","308766","79.0%","55.1%","54460","54.6%","72361","55.7%","126821","55.2%","180858","55.0%","0.2pp"
"Daggerfang Duo","B","C","335984","5.25","63215","7.16","288007","75.9%","54.4%","49939","53.8%","71108","56.6%","121047","55.4%","165362","53.5%","1.9pp"
"Diresight","B","C","391481","6.65","51199","9.75","111256","36.0%","53.6%","18900","52.4%","26538","55.9%","45438","54.5%","65388","53.0%","1.4pp"
"Early Winter","B","C","360666","5.76","48744","8.52","142219","48.9%","52.7%","21813","50.5%","34939","55.3%","56752","53.4%","84474","52.1%","1.4pp"
"Glidedive Duo","B","C","338200","5.24","63146","7.19","286905","74.7%","55.4%","44890","53.7%","69517","58.4%","114407","56.5%","169455","54.4%","2.1pp"
